날짜,문재인 테마주,홍준표 테마주,안철수 테마주,유승민 테마주,안희정 테마주
2016-05-09,1.26037,0.86728,0.86728,0.14662,0.09625
2016-05-10,1.1699,0.70506,0.70506,0.13726,0.06079
2016-05-11,1.0919,0.63954,0.63954,0.08735,0.08611
2016-05-12,0.98583,0.53971,0.53971,0.07175,0.48632
2016-05-13,1.23853,0.79241,0.79241,0.10919,0.24822
2016-05-14,0.69258,0.6177,0.6177,0.09671,0.08105
2016-05-15,1.11062,0.74249,0.74249,0.12166,0.10131
2016-05-16,3.80607,2.5457,2.5457,0.54283,0.82573
2016-05-17,5.17564,2.82024,2.82024,0.84544,1.51469
2016-05-18,4.52985,2.32108,2.32108,0.77057,1.17021
2016-05-19,2.43963,1.67841,1.67841,0.59898,0.48125
2016-05-20,2.0871,1.18237,1.18237,0.70194,0.44579
2016-05-21,1.04199,0.6801,0.6801,0.33069,0.86626
2016-05-22,1.0763,0.73001,0.73001,0.24645,0.37487
2016-05-23,3.41299,1.50371,1.50371,1.03575,0.81053
2016-05-24,3.34747,1.35084,1.35084,0.61146,0.65349
2016-05-25,2.94814,1.41947,1.41947,0.4274,0.59777
2016-05-26,3.99638,2.32108,2.32108,0.49915,0.97264
2016-05-27,2.41779,1.47251,1.47251,0.21526,0.85106
2016-05-28,1.45067,0.80177,0.80177,0.13726,0.5775
2016-05-29,1.10126,0.68946,0.68946,0.12166,0.47619
2016-05-30,2.29924,1.13558,1.13558,0.28077,0.53191
2016-05-31,1.63474,0.78617,0.78617,0.4274,0.42046
2016-06-01,1.78136,0.63954,0.63954,0.45236,0.32928
2016-06-02,1.86248,0.57715,0.57715,0.49603,0.43059
2016-06-03,1.78448,0.62706,0.62706,0.19342,0.30395
2016-06-04,0.85168,0.34941,0.34941,0.09047,0.95744
2016-06-05,0.6957,0.21838,0.21838,0.11543,1.35764
2016-06-06,0.85168,0.31821,0.31821,0.14974,1.33232
2016-06-07,1.43195,0.51787,0.51787,0.11543,1.07902
2016-06-08,1.36332,0.52411,0.52411,0.28389,1.24113
2016-06-09,1.56298,0.6177,0.6177,0.20902,1.27152
2016-06-10,1.35708,0.68634,0.68634,0.12478,0.95238
2016-06-11,0.69258,0.29949,0.29949,0.05615,0.6231
2016-06-12,0.59586,0.23086,0.23086,0.05927,0.46099
2016-06-13,1.00767,0.40244,0.40244,0.09047,0.88652
2016-06-14,0.81737,0.36188,0.36188,0.08423,1.10435
2016-06-15,0.77993,0.44612,0.44612,0.05927,0.87132
2016-06-16,1.02639,0.3962,0.3962,1.18861,0.68389
2016-06-17,0.90472,0.32757,0.32757,0.66762,0.73961
2016-06-18,0.54907,0.19966,0.19966,0.18094,0.50658
2016-06-19,0.42428,0.09047,0.09047,0.26205,0.52684
2016-06-20,1.05759,0.26205,0.26205,0.6021,0.79533
2016-06-21,1.8656,0.28701,0.28701,0.80177,0.88652
2016-06-22,1.49747,0.57715,0.57715,0.56155,4.48328
2016-06-23,1.08878,0.34941,0.34941,0.40868,11.46403
2016-06-24,0.83608,0.28077,0.28077,0.21214,3.50557
2016-06-25,0.42116,0.16222,0.16222,0.13414,1.32725
2016-06-26,0.40244,0.1903,0.1903,0.11854,1.48429
2016-06-27,0.87664,0.43676,0.43676,0.19342,3.7234
2016-06-28,1.03263,0.51163,0.51163,0.31821,3.74873
2016-06-29,2.33044,2.54882,2.54882,0.42116,2.88247
2016-06-30,1.03575,1.21981,1.21981,0.18094,1.81357
2016-07-01,0.94839,0.78305,0.78305,0.25269,2.07193
2016-07-02,0.58651,0.34629,0.34629,0.13414,0.98277
2016-07-03,0.6333,0.27141,0.27141,0.14662,1.13981
