날짜,문재인,홍준표,안철수,유승민
2016-05-09,1.08648,0.10533,3.42545,0.52243
2016-05-10,1.0253,0.12594,0.93498,0.48277
2016-05-11,1.00943,0.10227,0.75793,0.40644
2016-05-12,1.12387,0.09518,0.75267,0.4104
2016-05-13,0.92764,0.14584,1.07309,0.40995
2016-05-14,0.65813,0.07243,0.77679,0.34454
2016-05-15,0.61983,0.06384,0.56821,0.34811
2016-05-16,0.94149,0.07977,0.78407,0.5212
2016-05-17,1.29136,0.0959,0.77621,0.61535
2016-05-18,4.61155,0.0816,1.02413,0.58349
2016-05-19,4.50934,0.08914,0.84084,0.67139
2016-05-20,1.07309,0.09714,0.68173,0.60358
2016-05-21,0.8842,0.05481,0.53518,0.39987
2016-05-22,0.7,0.05253,0.54733,0.37009
2016-05-23,1.41314,0.15097,1.3502,0.4883
2016-05-24,1.07913,0.12457,0.88856,0.44148
2016-05-25,1.11047,0.21905,0.7476,0.45384
2016-05-26,1.18726,0.19265,0.80956,0.45345
2016-05-27,0.88641,0.22106,0.65332,0.38101
2016-05-28,0.78648,0.09792,0.57737,0.26697
2016-05-29,0.73121,0.07392,0.59584,0.27061
2016-05-30,0.95306,0.10806,0.81665,0.43387
2016-05-31,0.82289,0.10747,1.28063,0.82679
2016-06-01,0.82926,0.15845,1.13954,0.70559
2016-06-02,0.858,0.13342,0.72686,0.58193
2016-06-03,0.77334,0.11859,0.59987,0.42685
2016-06-04,0.56235,0.07808,0.44467,0.32354
2016-06-05,0.47952,0.06404,0.40091,0.33062
2016-06-06,0.66879,0.09161,0.53648,0.41177
2016-06-07,0.70839,0.08751,0.56495,0.41424
2016-06-08,0.76567,0.08667,0.57172,0.37022
2016-06-09,0.84597,0.10208,0.70774,0.67042
2016-06-10,0.72913,0.07834,0.97523,0.37555
2016-06-11,0.50325,0.0578,0.56938,0.24076
2016-06-12,0.7924,0.05305,0.57432,0.23394
2016-06-13,1.04194,0.07061,0.71093,0.429
2016-06-14,0.61522,0.09421,0.56912,0.33738
2016-06-15,0.56847,0.09492,0.5223,0.30481
2016-06-16,0.59805,0.10598,0.4857,11.19159
2016-06-17,0.5816,0.09226,0.43615,1.57894
2016-06-18,0.46781,0.05474,0.34961,0.68719
2016-06-19,0.46775,0.05266,0.33517,0.58966
2016-06-20,0.60819,0.08816,0.53791,0.87478
2016-06-21,0.74909,0.25852,0.40865,0.66704
2016-06-22,0.64721,0.09922,1.11093,0.67835
2016-06-23,0.56008,0.09343,0.61808,0.61951
2016-06-24,0.54434,0.07548,0.55455,0.42893
2016-06-25,0.4472,0.04317,0.33738,0.28667
2016-06-26,0.41151,0.04538,0.30663,0.30227
2016-06-27,0.57471,0.10247,0.5383,0.41957
2016-06-28,0.54668,0.09941,0.82926,0.49876
2016-06-29,0.83147,0.06879,22.39826,0.51261
2016-06-30,0.64506,0.0641,1.89845,0.49038
2016-07-01,0.56027,0.06456,0.73518,0.41138
2016-07-02,0.41437,0.04401,0.4117,0.25643
2016-07-03,0.43596,0.04135,0.43596,0.26424
2016-07-04,0.64532,0.06996,0.5435,0.36632
2016-07-05,0.57692,0.06423,0.47815,0.4487
2016-07-06,0.56983,0.06723,0.48498,0.48667
2016-07-07,0.64825,0.05981,0.43134,0.7976
2016-07-08,0.66944,0.06963,0.41073,2.98286
2016-07-09,0.80891,0.04668,0.3104,0.60338
2016-07-10,0.61652,0.04336,1.47842,0.33894
2016-07-11,0.68771,0.05474,0.73992,0.46886
2016-07-12,0.64662,8.97583,0.48205,1.29266
2016-07-13,0.8513,24.6886,0.39564,0.46951
2016-07-14,0.6591,1.21301,0.3658,0.4329
2016-07-15,0.59506,0.51196,0.34538,0.39837
2016-07-16,0.38277,0.22919,0.25721,0.28342
2016-07-17,0.39109,0.12737,0.26879,0.26157
2016-07-18,0.50273,0.15754,0.30884,0.31755
2016-07-19,0.48765,0.13465,0.31203,0.45696
2016-07-20,0.51196,0.11456,0.29961,0.46112
2016-07-21,0.52243,0.09701,0.38914,0.305
2016-07-22,0.75377,0.09434,0.33452,0.28381
2016-07-23,0.42087,0.07568,0.25416,0.21677
2016-07-24,0.43628,0.10195,0.23283,0.23062
2016-07-25,0.75813,0.12496,0.33582,0.26859
2016-07-26,0.66405,0.22828,0.33335,0.2524
2016-07-27,0.66301,0.28036,0.31547,0.28023
2016-07-28,0.59506,0.11476,0.33777,0.26586
2016-07-29,0.5528,0.15533,0.31424,0.2697
2016-07-30,0.43713,0.11859,0.25734,0.17054
2016-07-31,0.4054,0.07698,0.2076,0.16137
2016-08-01,0.61229,0.09486,0.29415,0.2169
2016-08-02,0.81242,0.0816,0.34324,0.29454
2016-08-03,0.65787,0.06495,0.30754,0.30878
2016-08-04,0.7251,0.07808,0.28355,0.36385
2016-08-05,0.64792,0.0591,0.28296,0.39285
2016-08-06,0.60813,0.04362,0.24616,0.27913
2016-08-07,0.67542,0.04154,0.24486,0.22048
2016-08-08,0.62549,0.08576,0.28199,0.32328
2016-08-09,0.71145,0.07672,0.31989,0.80104
2016-08-10,0.65943,0.06697,0.32627,0.42984
2016-08-11,0.61281,0.05968,0.26768,0.37451
2016-08-12,0.60741,0.45962,0.27126,0.36242
2016-08-13,0.46697,3.72695,0.22347,0.68004
2016-08-14,0.40715,3.97676,0.20637,0.68095
2016-08-15,0.57061,0.62471,0.31625,0.54239
2016-08-16,0.64883,0.23205,0.34519,1.07374
2016-08-17,0.61671,0.17074,0.32666,0.61073
2016-08-18,0.60039,0.17334,0.34564,1.13219
2016-08-19,0.57906,0.09896,0.32906,47.20839
2016-08-20,0.45481,0.06762,0.27627,3.86538
2016-08-21,0.48739,0.0602,0.28595,0.84194
2016-08-22,0.69721,0.15247,0.40637,1.87544
2016-08-23,0.65605,0.13537,0.38426,0.46899
2016-08-24,0.61691,0.15513,0.41658,0.37601
2016-08-25,0.67269,0.22828,0.38472,0.79753
2016-08-26,0.63472,0.14694,0.42958,0.57555
2016-08-27,0.84103,0.06736,0.67152,0.21099
2016-08-28,0.96632,0.06183,3.99815,0.22353
2016-08-29,1.42238,0.13524,52.02118,0.34304
2016-08-30,0.91229,0.13264,1.11717,0.30982
2016-08-31,0.79513,0.10708,0.72341,0.39395
2016-09-01,0.96567,0.07503,0.61801,0.34688
2016-09-02,0.77159,0.11781,0.57978,0.33088
2016-09-03,0.61691,0.06196,0.38283,0.2013
2016-09-04,0.59356,0.0721,0.41905,0.18829
2016-09-05,0.83446,0.11163,0.56509,0.32718
2016-09-06,0.80143,0.10416,0.55234,0.31183
2016-09-07,1.39039,0.13452,0.8924,0.47932
2016-09-08,1.03193,30.43976,0.78212,0.59727
2016-09-09,0.96684,1.46132,0.55247,0.36502
2016-09-10,0.60234,0.34688,0.35058,0.2208
2016-09-11,0.80429,0.1894,0.508,0.24948
2016-09-12,1.31535,0.20955,1.3465,0.63596
2016-09-13,0.93713,0.11502,0.53641,0.37321
2016-09-14,0.65098,0.09258,0.45345,0.27074
2016-09-15,0.62191,0.09655,0.40117,0.3342
2016-09-16,0.89103,0.08959,0.54903,0.41047
2016-09-17,0.8119,0.08088,0.54805,0.32997
2016-09-18,0.7251,0.07938,0.52334,0.35383
2016-09-19,0.98882,0.10214,0.68817,19.28061
2016-09-20,0.85969,0.08959,0.9409,0.86171
2016-09-21,0.86314,0.08095,0.66138,0.46489
2016-09-22,0.81099,0.16489,0.79591,0.72607
2016-09-23,0.73349,0.19141,0.84825,0.42334
