날짜,문재인정책주,날짜,홍준표정책주,날짜,안철수정책주,날짜,유승민정책주,날짜,안희정정책주
2016-11-01,6.59484,2017-03-15,0.22853,2016-11-11,0.26118,2016-11-13,0.19588,2016-12-13,0.16323
2016-11-02,6.13777,2017-03-16,0.81619,2016-11-20,0.19588,2016-11-19,0.19588,2017-01-18,0.29382
2016-11-03,6.07247,2017-03-17,0.16323,2016-11-23,0.29382,2016-11-24,0.39177,2017-01-22,0.88148
2016-11-04,5.45217,2017-03-18,0.26118,2016-11-24,0.39177,2016-12-04,0.16323,2017-01-23,0.58765
2016-11-05,3.59125,2017-03-20,0.19588,2016-11-25,0.22853,2016-12-05,0.16323,2017-01-26,0.45706
2016-11-06,3.75448,2017-03-21,0.16323,2016-11-27,0.16323,2016-12-06,0.16323,2017-01-27,0.55501
2016-11-07,5.09304,2017-03-24,0.19588,2016-11-28,0.22853,2016-12-10,0.19588,2017-01-28,0.19588
2016-11-08,5.45217,2017-03-30,0.16323,2016-12-03,0.16323,2016-12-11,0.26118,2017-01-29,0.39177
2016-11-09,4.44009,2017-03-31,0.39177,2016-12-08,0.26118,2016-12-13,0.32647,2017-01-30,0.6203
2016-11-10,5.19098,2017-04-01,0.42442,2016-12-09,0.19588,2016-12-20,0.16323,2017-01-31,4.01567
2016-11-11,4.76656,2017-04-26,0.22853,2016-12-11,0.58765,2016-12-23,0.35912,2017-02-01,4.89715
2016-11-12,4.34214,2017-04-27,0.16323,2016-12-16,0.16323,2016-12-24,0.22853,2017-02-02,10.44727
2016-11-13,6.23571,2017-04-30,0.29382,2016-12-23,0.48971,2017-01-10,0.16323,2017-02-03,7.47633
2016-11-14,7.08455,2017-05-02,0.91413,2017-01-05,0.26118,2017-01-11,0.26118,2017-02-04,7.54162
2016-11-15,6.26836,2017-05-03,0.26118,2017-01-10,0.16323,2017-01-12,0.16323,2017-02-05,8.19458
2016-11-16,5.06039,2017-05-04,0.19588,2017-01-11,0.35912,2017-01-17,0.16323,2017-02-06,12.83055
2016-11-17,3.95037,2017-05-07,0.26118,2017-01-12,0.19588,2017-01-18,0.29382,2017-02-07,10.41462
2016-11-18,4.34214,2017-05-08,0.88148,2017-01-17,0.16323,2017-01-19,0.26118,2017-02-08,7.1172
2016-11-19,2.25269,2017-05-09,0.16323,2017-01-19,0.19588,2017-01-26,0.71825,2017-02-09,6.79072
2016-11-20,3.46065,,,2017-01-20,0.22853,2017-01-27,0.32647,2017-02-10,24.09402
2016-11-21,3.00359,,,2017-01-21,0.29382,2017-02-01,1.63238,2017-02-11,11.98171
2016-11-22,2.90564,,,2017-01-23,0.29382,2017-02-02,3.13418,2017-02-12,9.59843
2016-11-23,5.51746,,,2017-01-24,0.32647,2017-02-03,3.36271,2017-02-13,12.34084
2016-11-24,5.38687,,,2017-01-25,0.35912,2017-02-04,1.24061,2017-02-14,11.29611
2016-11-25,5.28893,,,2017-01-27,0.26118,2017-02-05,1.17531,2017-02-15,8.619
2016-11-26,3.72184,,,2017-01-30,0.16323,2017-02-06,1.33855,2017-02-16,6.62748
2016-11-27,3.39536,,,2017-02-01,2.38328,2017-02-07,1.27326,2017-02-17,9.63108
2016-11-28,5.02775,,,2017-02-02,2.84035,2017-02-08,0.84884,2017-02-18,6.17042
2016-11-29,8.09663,,,2017-02-03,1.59973,2017-02-09,0.32647,2017-02-19,6.30101
2016-11-30,7.21514,,,2017-02-04,0.84884,2017-02-10,0.45706,2017-02-20,7.8028
2016-12-01,7.70486,,,2017-02-05,0.94678,2017-02-11,0.26118,2017-02-21,5.45217
2016-12-02,8.84753,,,2017-02-06,1.07737,2017-02-12,0.19588,2017-02-22,5.02775
2016-12-03,7.1825,,,2017-02-07,1.24061,2017-02-13,0.19588,2017-02-23,3.4933
2016-12-04,5.90923,,,2017-02-08,0.39177,2017-02-14,0.19588,2017-02-24,2.02415
2016-12-05,11.06758,,,2017-02-09,0.26118,2017-02-16,0.16323,2017-02-25,0.81619
2016-12-06,8.619,,,2017-02-10,0.45706,2017-03-10,0.39177,2017-02-26,1.04472
2016-12-07,6.30101,,,2017-02-12,0.22853,2017-03-11,0.19588,2017-02-27,0.94678
2016-12-08,10.21873,,,2017-02-14,0.26118,2017-03-14,0.16323,2017-02-28,0.84884
2016-12-09,13.87528,,,2017-02-15,0.19588,2017-03-15,0.16323,2017-03-01,0.71825
2016-12-10,10.90434,,,2017-02-16,0.75089,2017-03-21,0.16323,2017-03-02,0.97943
2016-12-11,8.16193,,,2017-02-17,0.58765,2017-03-28,0.97943,2017-03-03,1.17531
2016-12-12,15.31178,,,2017-02-18,0.6203,2017-03-29,0.6203,2017-03-05,0.6203
2016-12-13,13.18968,,,2017-02-19,0.16323,2017-03-30,0.19588,2017-03-06,0.65295
2016-12-14,8.03134,,,2017-02-20,0.29382,2017-03-31,0.19588,2017-03-07,0.97943
2016-12-15,7.67221,,,2017-02-21,0.65295,2017-04-14,0.48971,2017-03-08,0.58765
2016-12-16,6.4316,,,2017-02-22,0.39177,2017-04-20,0.29382,2017-03-09,1.11002
2016-12-17,4.44009,,,2017-02-23,0.88148,,,2017-03-10,6.95396
2016-12-18,5.12569,,,2017-02-24,1.53444,,,2017-03-11,4.1789
2016-12-19,6.46425,,,2017-02-25,0.75089,,,2017-03-12,5.81129
2016-12-20,8.29252,,,2017-02-26,1.07737,,,2017-03-13,9.01077
2016-12-21,8.39046,,,2017-02-27,1.33855,,,2017-03-14,7.67221
2016-12-22,5.746,,,2017-02-28,0.88148,,,2017-03-15,6.4316
2016-12-23,5.45217,,,2017-03-01,0.48971,,,2017-03-16,8.12928
2016-12-24,4.83186,,,2017-03-02,0.71825,,,2017-03-17,6.00718
2016-12-25,4.76656,,,2017-03-03,0.55501,,,2017-03-18,2.02415
2016-12-26,8.81488,,,2017-03-04,0.39177,,,2017-03-19,1.40385
2016-12-27,6.13777,,,2017-03-05,0.42442,,,2017-03-20,1.69768
2016-12-28,7.31309,,,2017-03-06,0.19588,,,2017-03-21,1.73032
2016-12-29,6.62748,,,2017-03-07,0.6203,,,2017-03-22,1.11002
2016-12-30,6.4316,,,2017-03-08,0.22853,,,2017-03-23,0.97943
2016-12-31,5.51746,,,2017-03-09,1.14267,,,2017-03-24,0.65295
2017-01-01,10.15344,,,2017-03-10,3.06888,,,2017-03-25,0.35912
2017-01-02,17.46653,,,2017-03-11,1.24061,,,2017-03-26,0.22853
2017-01-03,14.2997,,,2017-03-12,2.31798,,,2017-03-27,1.17531
2017-01-04,15.24649,,,2017-03-13,3.23212,,,2017-03-28,1.66503
2017-01-05,12.56937,,,2017-03-14,3.78713,,,2017-03-29,0.78354
2017-01-06,10.61051,,,2017-03-15,7.99869,,,2017-03-30,0.19588
2017-01-07,9.2393,,,2017-03-16,8.06398,,,2017-03-31,0.35912
2017-01-08,10.18609,,,2017-03-17,4.1789,,,2017-04-03,0.16323
2017-01-09,14.49559,,,2017-03-18,2.54652,,,2017-04-04,0.26118
2017-01-10,22.55958,,,2017-03-19,3.23212,,,2017-04-05,0.19588
2017-01-11,16.97682,,,2017-03-20,4.04831,,,,
