날짜,문재인테마주,날짜,홍준표테마주,날짜,안철수테마주,날짜,유승민테마주,날짜,안희정테마주
2016-11-01,8.30785,2016-11-24,0.01559,2016-11-01,2.28052,2016-11-01,1.72833,2016-11-01,1.75017
2016-11-02,7.69014,2017-01-31,0.02183,2016-11-02,2.77344,2016-11-02,1.27597,2016-11-02,1.81256
2016-11-03,6.98508,2017-02-01,0.05615,2016-11-03,2.08398,2016-11-03,0.98271,2016-11-03,1.76577
2016-11-04,9.52143,2017-02-02,0.28389,2016-11-04,1.93423,2016-11-04,0.54595,2016-11-04,2.32732
2016-11-05,4.93854,2017-02-03,0.17158,2016-11-05,1.42883,2016-11-05,0.26829,2016-11-05,1.64722
2016-11-06,4.84806,2017-02-04,0.19966,2016-11-06,1.45379,2016-11-06,0.27141,2016-11-06,1.59418
2016-11-07,9.64622,2017-02-05,0.07487,2016-11-07,2.00287,2016-11-07,0.53659,2016-11-07,2.61433
2016-11-08,8.40144,2017-02-06,0.10295,2016-11-08,1.88432,2016-11-08,0.58651,2016-11-08,2.72352
2016-11-09,8.79453,2017-02-07,0.09671,2016-11-09,2.0091,2016-11-09,0.40868,2016-11-09,2.39595
2016-11-10,9.0909,2017-02-08,0.08111,2016-11-10,2.07462,2016-11-10,0.365,2016-11-10,2.01534
2016-11-11,8.44512,2017-02-09,0.05927,2016-11-11,1.90927,2016-11-11,0.38684,2016-11-11,1.772
2016-11-12,6.69807,2017-02-10,0.01871,2016-11-12,1.5505,2016-11-12,0.24645,2016-11-12,1.53179
2016-11-13,6.46409,2017-02-11,0.03743,2016-11-13,1.71585,2016-11-13,0.35253,2016-11-13,1.56298
2016-11-14,15.92,2017-02-12,0.04991,2016-11-14,2.78592,2016-11-14,0.50539,2016-11-14,1.93735
2016-11-15,22.24683,2017-02-13,0.21526,2016-11-15,2.70793,2016-11-15,0.78617,2016-11-15,1.6285
2016-11-16,13.3275,2017-02-14,0.12478,2016-11-16,4.31459,2016-11-16,0.49291,2016-11-16,2.30236
2016-11-17,12.15448,2017-02-15,0.24333,2016-11-17,3.30691,2016-11-17,0.60522,2016-11-17,3.04486
2016-11-18,6.16459,2017-02-16,6.57952,2016-11-18,2.0403,2016-11-18,0.38996,2016-11-18,1.92487
2016-11-19,3.53154,2017-02-17,2.83895,2016-11-19,1.55362,2016-11-19,0.11231,2016-11-19,1.51619
2016-11-20,4.13364,2017-02-18,1.10438,2016-11-20,1.53179,2016-11-20,0.21526,2016-11-20,6.57016
2016-11-21,6.84157,2017-02-19,1.00767,2016-11-21,2.12142,2016-11-21,0.48667,2016-11-21,3.35371
